Case,SNR_dB,BER,SER
Baseline,-50,0.493333333333333,0.773333333333333
Baseline,-45,0.493333333333333,0.77
Baseline,-40,0.473333333333333,0.743333333333333
Baseline,-35,0.438333333333333,0.686666666666667
Baseline,-30,0.336666666666667,0.513333333333333
Baseline,-25,0.116666666666667,0.163333333333333
Baseline,-20,0.0116666666666667,0.0166666666666667
DopplerComp,-50,0.486666666666667,0.76
DopplerComp,-45,0.488333333333333,0.763333333333333
DopplerComp,-40,0.486666666666667,0.76
DopplerComp,-35,0.455,0.71
DopplerComp,-30,0.395,0.606666666666667
DopplerComp,-25,0.226666666666667,0.32
DopplerComp,-20,0.0333333333333333,0.0366666666666667
LMS,-50,0.468333333333333,0.72
LMS,-45,0.465,0.713333333333333
LMS,-40,0.445,0.683333333333333
LMS,-35,0.413333333333333,0.633333333333333
LMS,-30,0.31,0.453333333333333
LMS,-25,0.0766666666666667,0.116666666666667
LMS,-20,0,0
Viterbi,-50,0.465,0.755
Viterbi,-45,0.455,0.738333333333333
Viterbi,-40,0.45,0.72
Viterbi,-35,0.44,0.663333333333333
Viterbi,-30,0.341666666666667,0.496666666666667
Viterbi,-25,0.151666666666667,0.203333333333333
Viterbi,-20,0.01,0.0266666666666667
AllOn,-50,0.486666666666667,0.736666666666667
AllOn,-45,0.49,0.733333333333333
AllOn,-40,0.496666666666667,0.721666666666667
AllOn,-35,0.485,0.675
AllOn,-30,0.391666666666667,0.511666666666667
AllOn,-25,0.121666666666667,0.22
AllOn,-20,0,0.005
