SNR_dB,Doppler_Hz,BER_Base,BER_DopplerComp
-50,0,0.485,0.48
-50,20,0.5,0.4775
-50,40,0.495,0.4775
-50,60,0.5,0.4875
-50,80,0.4975,0.48
-50,100,0.4975,0.48
-45,0,0.48,0.4775
-45,20,0.5,0.475
-45,40,0.495,0.465
-45,60,0.5,0.48
-45,80,0.495,0.48
-45,100,0.4975,0.48
-40,0,0.47,0.48
-40,20,0.4975,0.4675
-40,40,0.485,0.4775
-40,60,0.5,0.475
-40,80,0.49,0.4825
-40,100,0.4975,0.48
-35,0,0.4325,0.4575
-35,20,0.485,0.46
-35,40,0.4925,0.455
-35,60,0.4975,0.465
-35,80,0.4875,0.485
-35,100,0.4975,0.48
-30,0,0.315,0.405
-30,20,0.475,0.4375
-30,40,0.4775,0.43
-30,60,0.485,0.455
-30,80,0.485,0.4775
-30,100,0.4975,0.48
-25,0,0.13,0.275
-25,20,0.455,0.3675
-25,40,0.455,0.3675
-25,60,0.475,0.4075
-25,80,0.4875,0.47
-25,100,0.5,0.485
-20,0,0.01,0.0325
-20,20,0.3875,0.2475
-20,40,0.3875,0.2025
-20,60,0.455,0.26
-20,80,0.485,0.425
-20,100,0.5,0.48
